Northeast,Midwest,South,West
Connecticut,Illinois,Delaware,Arizona
Maine,Indiana,Florida,Colorado
Massachusetts,Michigan,Georgia,Idaho
New Hampshire,Ohio,Maryland,Montana
Rhode Island,Wisconsin,North Carolina,Nevada
Vermont,Iowa,South Carolina,New Mexico
New Jersey,Kansas,Virginia,Utah
New York,Minnesota,Washington,Wyoming
Pennsylvania,Missouri,D.C.,Alaska
,Nebraska,West Virginia,California
,North Dakota,Alabama,Hawaii
,South Dakota,Kentucky,Oregon
,,Mississippi,Washington
,,Tennessee,
,,Arkansas,
,,Louisiana,
,,Oklahoma,
,,Texas,
